"gene_name","one_cell.ribo","two_cell.ribo","four_cell.ribo","eight_cell.ribo","one_cell.rna","two_cell.rna","four_cell.rna","eight_cell.rna","WT_one_cell_TE","WT_two_cell_TE","WT_four_cell_TE","WT_eight_cell_TE"
"B0432.7",0.948258055901847,0.707969946824832,0.89861413037098,0.625552907464866,-1.63158340283207,-1.31899934630872,-1.59653131995538,-1.27329058480221,2.57984145873392,2.02696929313356,2.49514545032636,1.89884349226708
"B0432.8",-0.44149652664033,-0.451579785398531,-0.876038090257771,-0.972487418694413,-0.945839403749814,-1.48799003112539,-1.13954651413148,-1.49909019266615,0.504342877109484,1.03641024572686,0.263508423873711,0.526602773971732
"B0464.6",1.85437705618765,1.71476192979588,1.51073815988286,1.66604103063391,0.778831185853087,0.503828979864297,1.17245858720514,0.853618642077746,1.07554587033456,1.21093294993158,0.338279572677718,0.812422388556161
"B0464.9",0.487952859392512,0.633473235661688,0.840839678366807,0.653573194625852,0.102324920286475,0.110660526201566,0.394986947279146,0.19491152267314,0.385627939106037,0.522812709460122,0.445852731087661,0.458661671952712
"B0491.5",-0.761036506285165,-0.47087957657938,-0.41532530766133,-0.15514215242697,0.473806429838321,0.721964450360862,0.671854636548408,1.01376556683311,-1.23484293612349,-1.19284402694024,-1.08717994420974,-1.16890771926008
"B0491.6",-2.23325599586838,-0.138956580408324,0.0904313416317279,0.606895994653766,0.722478231395789,0.0969434993718146,0.115420414867984,0.0195270697923502,-2.95573422726417,-0.235900079780139,-0.0249890732362565,0.587368924861416
"B0491.7",-1.19353522502847,-2.03666961133047,-2.41154744165461,-1.70373826405398,-0.804990076187201,-0.443522788726239,-0.728627851234794,-0.803404873379417,-0.388545148841267,-1.59314682260423,-1.68291959041982,-0.900333390674568
"B0495.5",0.328725993833244,0.148973948087191,-0.144857780780071,-0.306247054482107,-1.33460097940027,-1.12214225063232,-0.68782959366796,-1.14911693400594,1.66332697323352,1.27111619871951,0.542971812887889,0.842869879523832
"B0495.7",1.39945886575859,0.923441700592885,1.11635308557643,1.46804773238437,0.179323453186274,0.134915696442819,0.375286755301127,0.250285980533724,1.22013541257232,0.788526004150066,0.7410663302753,1.21776175185064
"B0495.8",0.511212867209958,0.957703662647833,0.842623260979284,1.02314338746103,0.195302504829532,-0.0434390143288365,0.380096430169976,0.306044155241152,0.315910362380426,1.00114267697667,0.462526830809308,0.717099232219873
"B0495.9",-0.388816268811417,-0.303222497323231,-0.328229853340783,-0.672545442725013,0.889892889455877,0.486400819456222,0.713278299099133,0.534821291933602,-1.27870915826729,-0.789623316779453,-1.04150815243992,-1.20736673465862
"B0507.2",-2.57982958614836,-2.43902908943899,-2.5848342367946,-2.32644132589606,-1.7851250529556,-1.30513471387578,-1.7252950508498,-1.72694943584741,-0.794704533192759,-1.13389437556322,-0.859539185944801,-0.59949189004865
"B0511.12",0.38496498554659,-0.220662075605587,-1.47713003708377,-1.05268957024617,1.08543366821338,1.34934510190365,1.01254362598856,1.24337832013389,-0.700468682666792,-1.57000717750923,-2.48967366307233,-2.29606789038006
"B0511.13",-2.23325599586838,-1.93530333430343,-1.68895450218057,-1.87155848269059,-0.926554344275022,-0.9399610151763,-1.07130763663429,-0.843122819309471,-1.30670165159336,-0.995342319127128,-0.61764686554628,-1.02843566338112
"B0511.19",-1.05756836728665,-1.76201653916344,-1.08386247001796,-1.13631281537851,-1.4172873213198,-0.377407854505274,-1.49342985899903,-0.833656327802239,0.359718954033152,-1.38460868465817,0.409567388981064,-0.302656487576276
"B0511.6",-1.68394985153433,-1.53799453302428,-2.41154744165461,-2.07273906080336,0.0646831058746992,0.301531210739733,0.260515069364205,0.589869066990645,-1.74863295740903,-1.83952574376402,-2.67206251101882,-2.662608127794
"B0511.7",-0.58533756286622,0.637200280602582,1.26104952596063,1.54663697808327,0.563285705226072,0.655741975689186,0.621517940862005,0.621595569598471,-1.14862326809229,-0.0185416950866041,0.639531585098626,0.925041408484802
"B0564.2",-1.68394985153433,-1.54314935482497,-1.71840026109466,-1.82218646710428,-1.66873029555241,-1.30513471387578,-1.73939584408003,-1.68768842396195,-0.0152195559819235,-0.238014640949188,0.0209955829853605,-0.134498043142336
"B0564.7",-1.38088194974917,-1.93530333430343,-1.45988181921203,-1.30974680228636,0.331674352096505,0.523115562201668,-0.0594256522589114,0.0285304400359282,-1.71255630184568,-2.4584188965051,-1.40045616695312,-1.33827724232228
"C01A2.4",-2.57982958614836,-1.25171145694853,-0.396333503421031,-0.185567839316268,-0.132504129438629,0.221588247385112,-0.0677423002803849,0.272726608434429,-2.44732545670973,-1.47329970433364,-0.328591203140646,-0.458294447750697
"C01B10.8",1.74252366970924,1.58083331572181,1.15486511582244,1.17845014635932,0.584728709149248,0.54086202606204,0.645770613349486,0.755834584513023,1.15779496055999,1.03997128965977,0.50909450247295,0.422615561846298
"C01B10.9",0.160489875522638,0.519795604863991,0.460254452586539,0.636216347961795,-0.568967730498386,-0.592894721958476,-0.222260943261641,-0.454117120041636,0.729457606021024,1.11269032682247,0.682515395848181,1.09033346800343
"C01B12.8",-0.990802670974385,-0.438104754665402,-0.326463273141275,-0.125666117774961,1.43053792234723,1.04139709527233,1.18222134316621,1.36886708091513,-2.42134059332162,-1.47950184993774,-1.50868461630748,-1.49453319869009
"C01F1.6",0.027638292656135,-0.718419721689533,-1.79032077920761,-2.08564676503087,-0.0505026314449505,0.0378851310605043,-0.623568668773096,-0.787483349757051,0.0781409241010856,-0.756304852750037,-1.16675211043451,-1.29816341527382
"C01G10.10",-1.68394985153433,-1.76201653916344,-1.84223062040217,-1.36894297733965,-0.0747959361028134,-0.262069974101548,-0.361224346632454,-0.334207420446476,-1.60915391543152,-1.49994656506189,-1.48100627376972,-1.03473555689317
