,P0,AB,P1,ABa,ABp,EMS,P2,ABal,ABar,ABpl,ABpr,MS,E,C,P3,ABalx,ABarx,ABplx,ABprx,MSx,Ex,Cx,D,P4,1-cell,2-cell,4-cell,8-cell,16-cell
nlp-47,0,0,0,0,0,0,0,0,0.27,0,0,0.8025,6.266,0,0,0,10.64333333,35.29272727,80.99166667,11.6575,19.742,0,0,0,0,0,0,0.92025641,20.27944444
nlp-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253333333,0,0,0,0,0,0,0,0,0.033777778
nlp-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.202727273,0,0,0,0,0,0,0.269222222
nlp-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173333333,0,0,0,0,0.011555556
nlr-1,9.188,4.82,2.334,6.796,5.964,0.376,0.834,0.856,1.924,12.012,0.97,0,0,6.95,0,0,0,0,0,0.043333333,0,0,0,0,9.188,3.577,3.4925,2.911794872,0.005777778
nlt-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nmgp-1,0,5.462,7.334,0,0,0,0,0,0.1,0,0,0,0,0,0,21.216,0.055833333,0,0.1225,37.58166667,12.961,3.727272727,0,0,0,6.398,0,0.012820513,9.287666667
nmr-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291666667,0,0,0,0,0,0.019444444
nmr-2,0,0.07,0,0,0,0,0,0,0,0.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0.108461538,0
nmt-1,169.414,94.068,112.37,13.818,2.708,60.152,164.728,4.316,12.33,0.168,0.32,0.17,7.474,52.29,245.732,17.62,0.2125,0.744545455,25.89083333,27.5875,2.354,11.78090909,95.785,268.6683333,169.414,103.219,60.3515,41.38025641,35.20588889
nmur-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,0,0,0,0,0,0.026333333
nmur-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nmur-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.04090909,0.063333333,0,0,1.326363636,0,0,0,0,0,0,7.386666667
nmur-4,0,0.796,0,0,0,0,0,5.384,29.382,0,0,0,56.764,0,0.088,32.117,0.030833333,0.027272727,0,0,0.435,0,0,0,0,0.398,0,11.74589744,3.624333333
nmy-1,7.664,9.82,4.784,7.636,10.446,8.9,11.046,8.126,5.382,16.976,5.506,13.3175,20.014,1.756,0.05,1.26,15.60666667,6.299090909,13.65833333,16.26083333,5.539,6.021818182,8.743333333,5.146666667,7.664,7.302,9.507,8.777435897,9.257444444
nmy-2,72.726,92.018,98.592,80.622,76.62,72.992,110.28,53.556,46.21,74.732,74.398,43.1525,134.748,57.004,89.788,36.113,65.56333333,36.82727273,65.40916667,53.31916667,43.665,43.06636364,136.03,54.63666667,72.726,95.305,85.1285,72.43051282,55.91233333
nnt-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noah-1,5.346,0.024,0,2.442,0,0.29,0,0,0.118,0,0.028,36.975,0,0,0,3.865,0.385833333,0.223636364,0,1.846666667,53.514,2.773636364,0,0,5.346,0.012,0.683,3.811025641,7.039444444
noah-2,5.974,10.376,24.626,3.408,2.764,3.55,14.914,0.188,12.19,8.872,8.096,11.1925,0,0,0,12.045,0.1625,15.63363636,1.159166667,3.943333333,10.478,0,0,0.028333333,5.974,17.501,6.159,4.91025641,5.117222222
nob-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.315,0,0,0,0,0,0,0,3.923888889
nol-1,65.024,54.91,28.162,71.952,51.366,15.054,45.5,9.884,41.656,43.144,55.052,105.33,53.874,52.074,13.996,9.86,37.585,37.11454545,13.665,27.50666667,15.507,44.50545455,50.78,9.198333333,65.024,41.536,45.968,45.3774359,27.29377778
